ibge7;Município;2010;2012;2014;2016;2018
3126505;Francisco Badaró;0,697;0,677;0,801;0,630;0,807
3126604;Francisco Dumont;0,635;0,654;0,811;0,790;0,699
3126703;Francisco Sá;0,684;0,718;0,759;0,663;0,700
3126752;Franciscópolis;0,604;0,745;0,834;0,782;0,798
3126802;Frei Gaspar;0,586;0,694;0,734;0,665;0,651
3126901;Frei Inocêncio;0,674;0,602;0,683;0,656;0,655
3126950;Frei Lagonegro;0,687;0,733;0,721;0,762;0,735
3127008;Fronteira;0,741;0,726;0,714;0,670;0,607
3127057;Fronteira dos Vales;0,760;0,701;0,802;0,746;0,690
3127073;Fruta de Leite;0,771;0,708;0,783;0,803;0,661
3127107;Frutal;0,590;0,630;0,596;0,563;0,503
3127206;Funilândia;0,737;0,733;0,733;0,719;0,784
3127305;Galiléia;0,683;0,609;0,701;0,672;0,690
3127339;Gameleiras;0,833;0,854;0,784;0,839;0,811
3127354;Glaucilândia;0,702;0,839;0,834;0,701;0,746
3127370;Goiabeira;0,817;0,700;0,656;0,681;0,699
3127388;Goianá;0,859;0,785;0,795;0,734;0,803
3127404;Gonçalves;0,814;0,801;0,789;0,863;0,875
3127503;Gonzaga;0,805;0,805;0,824;0,836;0,620
3127602;Gouveia;0,605;0,619;0,651;0,725;0,712
3127701;Governador Valadares;0,679;0,680;0,687;0,703;0,570
3127800;Grão Mogol;0,728;0,687;0,813;0,666;0,638
3127909;Grupiara;0,849;0,631;0,775;0,821;0,794
3128006;Guanhães;0,745;0,764;0,769;0,771;0,656
3128105;Guapé;0,747;0,850;0,905;0,814;0,736
3128204;Guaraciaba;0,697;0,620;0,733;0,736;0,653
3128253;Guaraciama;0,718;0,721;0,796;0,746;0,624
3128303;Guaranésia;0,696;0,761;0,784;0,772;0,673
3128402;Guarani;0,838;0,730;0,767;0,655;0,754
3128501;Guarará;0,776;0,805;0,760;0,668;0,590
3128600;Guarda-Mor;0,821;0,792;0,824;0,691;0,653
3128709;Guaxupé;0,695;0,753;0,719;0,702;0,586
3128808;Guidoval;0,749;0,758;0,799;0,797;0,744
3128907;Guimarânia;0,797;0,854;0,849;0,784;0,759
3129004;Guiricema;0,713;0,868;0,798;0,786;0,762
3129103;Gurinhatã;0,781;0,786;0,818;0,808;0,782
3129202;Heliodora;0,721;0,824;0,845;0,759;0,715
3129301;Iapu;0,828;0,794;0,877;0,841;0,799
3129400;Ibertioga;0,676;0,803;0,782;0,643;0,601
3129509;Ibiá;0,719;0,714;0,729;0,632;0,660
3129608;Ibiaí;0,644;0,713;0,728;0,761;0,724
3129657;Ibiracatu;0,686;0,752;0,710;0,689;0,609
3129707;Ibiraci;0,762;0,826;0,782;0,803;0,774
3129806;Ibirité;0,709;0,705;0,738;0,700;0,597
3129905;Ibitiúra de Minas;0,879;0,838;0,740;0,813;0,726
3130002;Ibituruna;0,709;0,806;0,626;0,436;0,683
3130051;Icaraí de Minas;0,558;0,599;0,698;0,708;0,768
3130101;Igarapé;0,764;0,771;0,749;0,766;0,677
3130200;Igaratinga;0,758;0,785;0,720;0,795;0,724
3130309;Iguatama;0,811;0,884;0,831;0,627;0,670
3130408;Ijaci;0,769;0,761;0,866;0,841;0,863
3130507;Ilicínea;0,797;0,860;0,868;0,787;0,749
3130556;Imbé de Minas;0,714;0,736;0,792;0,631;0,642
3130606;Inconfidentes;0,773;0,834;0,846;0,803;0,785
3130655;Indaiabira;0,808;0,766;0,758;0,794;0,701
3130705;Indianópolis;0,749;0,778;0,704;0,854;0,863
3130804;Ingaí;0,770;0,778;0,885;0,786;0,656
3130903;Inhapim;0,678;0,727;0,774;0,737;0,737
3131000;Inhaúma;0,716;0,736;0,839;0,777;0,627
3131109;Inimutaba;0,779;0,757;0,760;0,826;0,826
3131158;Ipaba;0,766;0,723;0,805;0,741;0,697
3131208;Ipanema;0,683;0,721;0,789;0,797;0,707
3131307;Ipatinga;0,704;0,674;0,564;0,734;0,656
3131406;Ipiaçu;0,655;0,795;0,781;0,747;0,753
3131505;Ipuiúna;0,733;0,755;0,822;0,745;0,718
3131604;Iraí de Minas;0,791;0,741;0,737;0,745;0,750
3131703;Itabira;0,730;0,739;0,767;0,701;0,691
3131802;Itabirinha;0,686;0,681;0,674;0,620;0,523
3131901;Itabirito;0,687;0,762;0,747;0,734;0,665
3132008;Itacambira;0,803;0,858;0,785;0,767;0,745
3132107;Itacarambi;0,677;0,684;0,756;0,671;0,583
3132206;Itaguara;0,765;0,869;0,827;0,821;0,683
3132305;Itaipé;0,598;0,629;0,737;0,688;0,677
3132404;Itajubá;0,697;0,726;0,671;0,766;0,643
3132503;Itamarandiba;0,614;0,566;0,665;0,693;0,709
3132602;Itamarati de Minas;0,813;0,836;0,830;0,701;0,770
3132701;Itambacuri;0,555;0,572;0,648;0,640;0,568
3132800;Itambé do Mato Dentro;0,775;0,697;0,716;0,730;0,692
3132909;Itamogi;0,769;0,786;0,767;0,734;0,765
3133006;Itamonte;0,786;0,768;0,836;0,805;0,774
3133105;Itanhandu;0,825;0,777;0,819;0,831;0,755
3133204;Itanhomi;0,736;0,769;0,771;0,679;0,493
3133303;Itaobim;0,621;0,661;0,731;0,777;0,709
3133402;Itapagipe;0,787;0,810;0,844;0,766;0,620
3133501;Itapecerica;0,754;0,729;0,673;0,643;0,635
3133600;Itapeva;0,769;0,822;0,845;0,802;0,785
3133709;Itatiaiuçu;0,785;0,848;0,855;0,827;0,781
3133758;Itaú de Minas;0,745;0,751;0,801;0,809;0,729
3133808;Itaúna;0,670;0,663;0,660;0,640;0,604
3133907;Itaverava;0,678;0,668;0,669;0,644;0,734
3134004;Itinga;0,614;0,598;0,707;0,704;0,691
3134103;Itueta;0,668;0,637;0,699;0,748;0,589
3134202;Ituiutaba;0,627;0,629;0,615;0,689;0,571
3134301;Itumirim;0,818;0,777;0,715;0,630;0,689
3134400;Iturama;0,638;0,617;0,621;0,637;0,594
3134509;Itutinga;0,702;0,760;0,896;0,822;0,774
3134608;Jaboticatubas;0,713;0,702;0,722;0,731;0,697
3134707;Jacinto;0,659;0,718;0,763;0,710;0,706
3134806;Jacuí;0,790;0,796;0,790;0,759;0,722
3134905;Jacutinga;0,669;0,704;0,711;0,724;0,660
3135001;Jaguaraçu;0,728;0,726;0,846;0,759;0,794
3135050;Jaíba;0,708;0,720;0,740;0,703;0,649
3135076;Jampruca;0,672;0,740;0,824;0,783;0,694
3135100;Janaúba;0,708;0,709;0,796;0,780;0,657
3135209;Januária;0,574;0,474;0,500;0,626;0,529
3135308;Japaraíba;0,805;0,884;0,885;0,755;0,757
3135357;Japonvar;0,756;0,830;0,830;0,782;0,773
3135407;Jeceaba;0,696;0,686;0,722;0,758;0,747
3135456;Jenipapo de Minas;0,730;0,696;0,763;0,714;0,705
3135506;Jequeri;0,678;0,828;0,770;0,731;0,756
3135605;Jequitaí;0,723;0,701;0,810;0,654;0,586
3135704;Jequitibá;0,773;0,677;0,747;0,769;0,811
3135803;Jequitinhonha;0,597;0,645;0,728;0,656;0,649
3135902;Jesuânia;0,776;0,821;0,855;0,852;0,789
3136009;Joaíma;0,526;0,572;0,586;0,540;0,665
3136108;Joanésia;0,789;0,842;0,781;0,830;0,700
3136207;João Monlevade;0,661;0,716;0,729;0,726;0,562
3136306;João Pinheiro;0,614;0,667;0,662;0,636;0,577
3136405;Joaquim Felício;0,584;0,546;0,749;0,669;0,642
3136504;Jordânia;0,632;0,713;0,617;0,696;0,675
3136520;José Gonçalves de Minas;0,523;0,663;0,728;0,721;0,683
3136553;José Raydan;0,643;0,666;0,667;0,690;0,612
3136579;Josenópolis;0,761;0,762;0,732;0,555;0,573
3136652;Juatuba;0,735;0,787;0,752;0,753;0,646
3136702;Juiz de Fora;0,655;0,661;0,635;0,675;0,560
3136801;Juramento;0,747;0,767;0,765;0,694;0,788
3136900;Juruaia;0,746;0,894;0,883;0,844;0,788
3136959;Juvenília;0,546;0,621;0,684;0,639;0,638
3137007;Ladainha;0,636;0,602;0,624;0,678;0,641
3137106;Lagamar;0,718;0,786;0,754;0,795;0,802
3137205;Lagoa da Prata;0,740;0,769;0,749;0,752;0,663
3137304;Lagoa dos Patos;0,575;0,607;0,713;0,540;0,720
3137403;Lagoa Dourada;0,669;0,678;0,698;0,715;0,639
3137502;Lagoa Formosa;0,814;0,803;0,794;0,813;0,805
3137536;Lagoa Grande;0,745;0,802;0,785;0,738;0,674
3137601;Lagoa Santa;0,763;0,831;0,765;0,720;0,651
3137700;Lajinha;0,693;0,757;0,747;0,624;0,627
3137809;Lambari;0,680;0,749;0,761;0,749;0,682
3137908;Lamim;0,867;0,840;0,832;0,809;0,705
3138005;Laranjal;0,669;0,790;0,770;0,666;0,637
3138104;Lassance;0,691;0,770;0,744;0,776;0,767
3138203;Lavras;0,672;0,720;0,694;0,694;0,573
3138302;Leandro ferreira;0,829;0,872;0,838;0,705;0,731
3138351;Leme do Prado;0,689;0,826;0,830;0,819;0,774
3138401;Leopoldina;0,735;0,742;0,648;0,624;0,580
3138500;Liberdade;0,708;0,798;0,754;0,586;0,556
3138609;Lima Duarte;0,753;0,790;0,768;0,714;0,725
