
"Município";"De 0 a 4 anos";"De 5 a 9 anos";"De 10 a 14 anos";"De 15 a 19 anos";"De 20 a 24 anos";"De 25 a 29 anos";"De 30 a 34 anos";"De 35 a 39 anos";"De 40 a 44 anos";"De 45 a 49 anos";"De 50 a 54 anos";"De 55 a 59 anos";"De 60 a 64 anos";"De 65 a 69 anos";"De 70 a 74 anos";"De 75 a 79 anos";"De 80 anos ou mais";"Total"
"310960 Cachoeira da Prata";202;235;289;285;297;265;310;273;262;274;245;176;175;154;113;76;90;3721
"310970 Cachoeira de Minas";753;801;972;872;821;797;846;788;824;819;706;593;521;389;322;196;217;11237
"310270 Cachoeira de Pajeú";709;880;952;868;696;652;648;567;579;510;455;380;363;288;251;147;179;9124
"310980 Cachoeira Dourada";186;192;230;207;218;173;202;194;188;179;138;105;94;61;63;57;64;2551
"310990 Caetanópolis";635;664;890;942;905;856;716;701;808;771;691;524;420;282;250;173;178;10406
"311000 Caeté";2784;3045;3513;3393;3462;3552;3352;2901;2859;2899;2460;2013;1620;1248;1031;660;707;41499
"311010 Caiana";376;412;478;476;437;393;356;402;342;341;274;228;144;125;113;86;76;5059
"311020 Cajuri";258;281;365;370;346;340;315;246;245;265;278;216;146;155;106;91;98;4121
"311030 Caldas";818;891;1003;1070;956;987;977;994;1043;1068;934;823;719;549;425;300;327;13884
"311040 Camacho";173;227;263;269;272;259;265;235;224;202;208;169;149;105;81;59;52;3212
"311050 Camanducaia";1428;1624;1844;1873;1730;1878;1789;1596;1514;1376;1252;1000;893;588;475;323;284;21467
"311060 Cambuí";1559;1732;2080;2084;2205;2272;2091;2041;1938;1859;1708;1449;1232;896;773;522;534;26975
"311070 Cambuquira";777;938;1098;1141;1013;931;867;830;851;855;868;709;587;394;350;286;339;12834
"311080 Campanário";235;338;410;381;275;254;236;263;245;209;181;140;125;121;97;55;64;3629
"311090 Campanha";1029;1236;1418;1413;1320;1179;1107;1076;1085;1035;976;816;584;469;362;273;339;15717
"311100 Campestre";1288;1494;1803;1769;1593;1581;1599;1601;1559;1488;1287;1128;908;685;502;378;403;21066
"311110 Campina Verde";1138;1279;1494;1548;1481;1429;1449;1398;1510;1519;1312;1037;899;762;574;405;445;19679
"311115 Campo Azul";276;344;433;380;262;246;237;231;208;209;188;193;150;120;110;83;82;3752
"311120 Campo Belo";3176;3544;4083;3927;4202;4205;4144;3819;3593;3590;3484;2957;2307;1746;1418;1088;1208;52491
"311130 Campo do Meio";751;917;993;1009;870;874;863;824;843;760;835;622;473;355;282;224;192;11687
"311140 Campo Florido";571;605;652;614;596;659;575;503;449;450;357;255;239;146;144;101;80;6996
"311150 Campos Altos";1104;1258;1278;1246;1293;1306;1161;1088;960;852;772;663;457;360;298;185;186;14467
"311160 Campos Gerais";1915;2324;2646;2467;2131;2182;2209;2129;1968;1812;1629;1328;1052;860;578;441;436;28107
"311190 Cana Verde";329;432;414;438;455;464;412;414;336;369;382;344;275;206;163;135;124;5692
"311170 Canaã";266;311;384;423;378;379;360;338;337;304;287;245;188;157;128;116;112;4713
"311180 Canápolis";789;759;930;939;1137;1086;1021;853;816;775;601;530;405;339;227;167;200;11574
"311200 Candeias";759;937;1109;1110;1193;1159;1133;1099;1113;1016;997;894;678;525;420;343;378;14863
"311205 Cantagalo";369;364;408;467;411;312;304;260;231;217;193;188;150;118;104;86;90;4272
"311210 Caparaó";396;514;571;466;514;470;428;376;363;278;278;218;144;98;75;64;52;5305
"311220 Capela Nova";276;330;382;368;360;339;330;325;405;368;283;276;201;179;142;127;151;4842
"311230 Capelinha";3000;3455;4046;3718;3428;3059;2739;2377;2050;1839;1542;1248;896;749;574;333;390;35443
"311240 Capetinga";495;580;603;614;574;610;551;469;479;396;418;386;328;228;200;139;149;7219
"311250 Capim Branco";580;710;790;811;766;756;749;592;607;634;511;428;284;264;207;144;211;9044
"311260 Capinópolis";1111;1169;1215;1273;1265;1217;1263;1161;1165;1069;866;721;601;528;400;274;273;15571
"311265 Capitão Andrade";436;433;437;431;397;357;335;310;308;330;269;249;203;178;133;103;107;5016
