"Município";"De 0 a 4 anos";"De 5 a 9 anos";"De 10 a 14 anos";"De 15 a 19 anos";"De 20 a 24 anos";"De 25 a 29 anos";"De 30 a 34 anos";"De 35 a 39 anos";"De 40 a 44 anos";"De 45 a 49 anos";"De 50 a 54 anos";"De 55 a 59 anos";"De 60 a 64 anos";"De 65 a 69 anos";"De 70 a 74 anos";"De 75 a 79 anos";"De 80 anos ou mais";"Total"
"311030 Caldas";785;849;926;1015;1017;971;983;978;1014;1074;1041;893;768;610;457;331;376;14088
"311040 Camacho";163;186;229;244;249;256;251;239;222;212;199;181;150;119;83;61;62;3106
"311050 Camanducaia";1371;1476;1682;1849;1797;1751;1774;1630;1505;1437;1313;1127;920;722;498;366;353;21571
"311060 Cambuí";1541;1645;1911;2164;2175;2264;2235;2078;2006;1944;1831;1615;1346;1053;794;609;644;27855
"311070 Cambuquira";746;826;981;1090;1058;952;893;837;820;855;859;780;626;480;348;291;385;12827
"311080 Campanário";235;277;354;367;315;260;248;248;255;234;200;172;138;115;101;69;72;3660
"311090 Campanha";1006;1109;1307;1408;1356;1271;1168;1087;1066;1074;1021;915;696;503;389;290;375;16041
"311100 Campestre";1231;1338;1590;1762;1650;1550;1560;1565;1534;1492;1381;1201;1006;770;560;403;469;21062
"311110 Campina Verde";1071;1170;1314;1445;1479;1450;1446;1439;1448;1527;1439;1192;941;780;617;441;503;19702
"311115 Campo Azul";276;299;350;362;304;258;253;242;225;211;202;192;172;132;108;89;99;3774
"311120 Campo Belo";3052;3288;3734;3996;3973;4172;4178;3992;3666;3572;3521;3228;2639;1968;1489;1151;1398;53017
"311130 Campo do Meio";725;794;902;948;902;848;859;830;814;808;799;749;544;393;294;229;238;11676
"311140 Campo Florido";576;592;657;700;643;647;639;555;484;437;400;301;228;186;133;111;102;7391
"311150 Campos Altos";1076;1144;1248;1280;1276;1308;1252;1112;1017;913;806;703;559;383;299;216;215;14807
"311160 Campos Gerais";1873;2022;2352;2475;2242;2102;2165;2147;2037;1916;1748;1493;1183;916;680;465;519;28335
"311190 Cana Verde";310;360;411;410;426;446;442;402;374;349;379;367;306;228;170;133;149;5662
"311170 Canaã";256;277;320;368;384;373;375;347;328;317;292;265;209;168;135;111;137;4662
"311180 Canápolis";754;765;838;984;1045;1112;1024;918;812;785;695;556;453;348;261;176;220;11746
"311200 Candeias";728;814;988;1106;1129;1163;1140;1102;1082;1076;1013;945;783;579;442;347;434;14871
"311205 Cantagalo";367;362;368;402;424;373;314;287;245;222;206;190;169;130;104;88;107;4358
"311210 Caparaó";392;432;527;528;475;481;437;390;362;327;268;239;171;116;79;62;64;5350
"311220 Capela Nova";258;290;342;359;340;331;329;325;351;388;332;276;237;180;149;122;169;4778
"311230 Capelinha";3035;3131;3585;3771;3510;3309;2965;2569;2193;1944;1698;1382;1051;771;609;410;432;36365
"311240 Capetinga";470;504;564;596;578;565;566;495;449;428;391;384;338;267;197;154;171;7117
"311250 Capim Branco";571;626;743;807;801;769;755;677;590;620;584;485;372;266;226;165;230;9287
"311260 Capinópolis";1062;1130;1181;1243;1275;1254;1223;1193;1134;1118;972;783;639;526;426;302;316;15777
"311265 Capitão Andrade";432;437;418;410;402;390;365;338;315;326;310;259;221;178;143;104;122;5170
"311270 Capitão Enéas";1213;1310;1511;1576;1468;1238;1088;949;878;826;699;563;417;331;277;193;192;14729
"311280 Capitólio";486;527;604;654;625;622;641;658;647;618;598;503;408;292;189;157;206;8435
"311290 Caputira";701;731;803;807;745;710;685;656;607;580;526;439;348;276;229;170;218;9231
"311300 Caraí";2072;2175;2333;2247;2026;1812;1581;1333;1223;1202;1070;970;840;649;575;468;496;23072
"311310 Caranaíba";189;217;265;285;260;233;226;226;233;240;225;183;150;109;95;78;78;3292
"311320 Carandaí";1473;1632;1882;2069;2082;1949;1878;1778;1726;1770;1632;1340;1027;758;529;384;427;24336
"311330 Carangola";1938;2096;2449;2716;2602;2521;2468;2305;2210;2255;2182;1924;1587;1195;879;686;914;32927
"311340 Caratinga";5978;6390;7168;7491;7314;7386;7224;6684;6068;5715;5111;4415;3549;2627;2097;1605;1791;88613
"311350 Carbonita";632;697;816;904;867;750;718;641;608;614;525;402;334;268;216;166;188;9346
"311360 Careaçu";446;482;531;528;486;481;496;476;467;429;395;362;282;221;166;132;151;6531
"311370 Carlos Chagas";1249;1350;1545;1712;1685;1577;1457;1371;1310;1273;1174;1040;865;711;578;427;567;19891
"311380 Carmésia";182;199;230;222;194;181;172;180;171;160;150;121;115;87;71;46;58;2539
"311390 Carmo da Cachoeira";911;926;1024;1114;1048;947;886;816;801;792;737;610;479;349;252;194;207;12093
"311400 Carmo da Mata";625;712;877;940;864;831;870;841;815;811;716;604;489;395;316;241;300;11247
"311410 Carmo de Minas";1070;1086;1227;1329;1222;1162;1120;1022;939;895;822;696;550;391;291;214;260;14296
"311420 Carmo do Cajuru";1383;1438;1670;1874;1738;1695;1682;1628;1549;1482;1307;1039;820;650;464;320;358;21097
"311430 Carmo do Paranaíba";1746;1916;2221;2467;2370;2261;2312;2283;2257;2214;2046;1728;1364;1060;802;582;668;30297
"311440 Carmo do Rio Claro";1290;1370;1512;1668;1663;1634;1666;1612;1486;1479;1412;1154;936;703;532;396;433;20946
"311450 Carmópolis de Minas";1082;1192;1436;1552;1522;1516;1423;1349;1316;1266;1117;912;705;554;417;346;337;18042
"311455 Carneirinho";583;639;721;753;774;817;812;776;722;660;599;517;435;342;239;172;214;9775
"311460 Carrancas";246;271;306;325;316;278;277;258;257;287;291;249;205;150;123;97;94;4030
"311470 Carvalhópolis";213;224;264;277;236;239;236;223;236;250;230;214;180;136;100;86;118;3462
"311480 Carvalhos";199;239;307;368;372;329;302;303;330;387;355;289;241;184;142;108;130;4585
"311490 Casa Grande";129;145;175;190;175;175;189;181;174;156;130;107;96;89;66;46;52;2275
"311500 Cascalho Rico";194;189;201;218;198;198;211;231;223;224;202;167;140;134;107;64;65;2966
"311510 Cássia";1072;1189;1358;1455;1423;1299;1279;1227;1185;1153;1155;1084;902;679;497;362;416;17735
"311530 Cataguases";3949;4299;4936;5581;5730;5753;5601;5308;5139;5307;5093;4297;3386;2630;2048;1533;1844;72434
"311535 Catas Altas";350;374;442;460;417;398;417;420;366;340;292;238;181;140;100;70;81;5086
"311540 Catas Altas da Noruega";224;246;296;334;324;305;291;259;236;213;188;168;142;118;90;58;73;3565
"311545 Catuji";582;624;688;683;609;519;465;416;374;351;314;273;219;168;134;107;127;6653
"311547 Catuti";357;398;463;490;461;386;363;347;346;343;293;235;194;155;129;89;75;5124
"311550 Caxambu";1270;1407;1575;1712;1653;1583;1632;1525;1484;1509;1488;1344;1103;874;681;497;614;21951
"311560 Cedro do Abaeté";63;73;94;98;80;78;80;86;91;76;83;75;65;49;47;41;30;1209
"311570 Central de Minas";414;476;543;552;515;481;496;503;480;484;461;390;322;261;222;160;182;6942
"311580 Centralina";661;698;765;838;835;822;778;758;716;703;652;566;470;390;314;234;244;10444
"311590 Chácara";143;164;224;254;221;188;184;186;207;244;229;188;152;118;99;78;70;2949
"311600 Chalé";356;379;449;474;460;470;452;413;378;368;352;312;261;181;145;122;162;5734
"311610 Chapada do Norte";1254;1385;1611;1695;1608;1406;1168;968;854;772;659;567;480;358;272;191;182;15430
"311615 Chapada Gaúcha";1169;1153;1229;1272;1258;1192;968;710;578;513;456;398;328;235;192;129;138;11918
"311620 Chiador";184;193;219;222;207;203;177;181;182;201;189;156;140;114;88;59;70;2785
"311630 Cipotânea";374;419;525;604;614;577;505;464;435;454;417;303;252;234;194;156;181;6708
"311640 Claraval";338;360;383;397;390;379;354;314;290;285;294;275;218;162;117;76;64;4696
"311650 Claro dos Poções";497;532;606;691;684;606;557;558;546;511;451;385;324;271;230;173;171;7793
"311660 Cláudio";1822;1912;2154;2337;2381;2416;2363;2172;1894;1748;1545;1251;975;706;531;396;452;27055
"311670 Coimbra";431;487;578;592;542;538;563;528;502;523;479;401;326;256;185;152;228;7311
"311680 Coluna";692;735;850;883;822;733;661;630;555;505;425;396;333;279;242;167;174;9082
"311690 Comendador Gomes";227;233;222;228;243;278;263;214;199;217;214;149;113;90;67;47;52;3056
"311700 Comercinho";548;622;706;740;659;548;533;499;480;482;427;383;339;300;249;185;230;7930
"311710 Conceição da Aparecida";705;754;781;777;793;804;775;739;691;673;619;546;434;327;239;192;251;10100
"311520 Conceição da Barra de Minas";214;247;316;349;322;316;310;307;299;294;245;196;167;141;109;86;84;4002
"311730 Conceição das Alagoas";1980;1979;2113;2290;2351;2491;2244;1892;1669;1516;1279;1001;754;530;368;265;257;24979
"311720 Conceição das Pedras";146;160;192;211;212;225;221;212;221;215;185;160;129;98;77;57;83;2804
"311740 Conceição de Ipanema";296;318;324;321;318;315;328;336;351;334;294;253;205;169;151;114;123;4550
"311750 Conceição do Mato Dentro";1346;1457;1661;1717;1612;1380;1262;1144;1066;1050;961;839;695;548;450;348;474;18010
"311760 Conceição do Pará";339;365;398;414;408;411;411;389;369;368;329;285;246;201;155;114;138;5340
"311770 Conceição do Rio Verde";947;988;1121;1185;1072;1010;969;891;870;872;805;698;559;449;371;266;268;13341
"311780 Conceição dos Ouros";768;796;877;956;921;880;839;803;797;750;671;562;435;327;230;164;169;10945
"311783 Cônego Marinho";538;619;741;745;674;582;520;451;413;374;350;317;287;259;188;138;186;7382
"311787 Confins";375;410;506;582;549;508;521;526;479;422;383;307;228;160;133;91;99;6279
"311790 Congonhal";609;658;761;829;834;879;909;855;843;814;760;661;522;411;304;214;238;11101
"311800 Congonhas";3358;3517;3923;4515;4615;4615;4449;3804;3497;3546;3243;2625;1890;1324;924;683;711;51239
"311810 Congonhas do Norte";354;401;474;491;434;358;363;338;297;273;251;230;216;179;145;111;122;5037
"311820 Conquista";413;457;508;547;561;545;543;481;452;445;431;377;313;239;163;112;159;6746
"311830 Conselheiro Lafaiete";7353;7827;8776;9883;10500;11053;10530;9102;8179;8372;8110;6860;5193;3736;2618;1850;2106;122048
