semana,comeco,fim,ano
22,28052017,3062017,2017
23,4062017,10062017,2017
24,11062017,17062017,2017
25,18062017,24062017,2017
26,25062017,1072017,2017
27,2072017,8072017,2017
28,9072017,15072017,2017
29,16072017,22072017,2017
30,23072017,29072017,2017
31,30072017,5082017,2017
32,6082017,12082017,2017
33,13082017,19082017,2017
34,20082017,26082017,2017
35,27082017,2092017,2017
36,3092017,9092017,2017
37,10092017,16092017,2017
38,17092017,23092017,2017
39,24092017,30092017,2017
40,1102017,7102017,2017
41,8102017,14102017,2017
42,15102017,21102017,2017
43,22102017,28102017,2017
44,29102017,4112017,2017
45,5112017,11112017,2017
46,12112017,18112017,2017
47,19112017,25112017,2017
48,26112017,2122017,2017
49,3122017,9122017,2017
50,10122017,16122017,2017
51,17122017,23122017,2017
52,24122017,30122017,2017
1,31122017,6012018,2018
2,7012018,13012018,2018
3,14012018,20012018,2018
4,21012018,27012018,2018
5,28012018,3022018,2018
6,4022018,10022018,2018
7,11022018,17022018,2018
8,18022018,24022018,2018
9,25022018,3032018,2018
10,4032018,10032018,2018
11,11032018,17032018,2018
12,18032018,24032018,2018
13,25032018,31032018,2018
14,1042018,7042018,2018
15,4042018,14042018,2018
16,15042018,21042018,2018
17,22042018,28042018,2018
18,29042018,5052018,2018
19,6052018,12052018,2018
20,13052018,19052018,2018
21,20052018,26052018,2018
22,27052018,2062018,2018
23,3062018,9062018,2018
24,10062018,16062018,2018
25,17062018,23062018,2018
26,24062018,30062018,2018
27,1072018,7072018,2018
28,8072018,14072018,2018
29,15072018,21072018,2018
30,22072018,28072018,2018
31,29072018,4082018,2018
32,5082018,11082018,2018
33,12082018,18082018,2018
34,19082018,25082018,2018
35,26082018,1092018,2018
36,2092018,8092018,2018
37,9092018,15092018,2018
38,16092018,22092018,2018
39,23092018,29092018,2018
40,30092018,6102018,2018
41,7102018,13102018,2018
42,14102018,20102018,2018
43,21102018,27102018,2018
44,28102018,3112018,2018
45,4112018,10112018,2018
46,11112018,17112018,2018
47,18112018,24112018,2018
48,25112018,1122018,2018
49,2122018,8122018,2018
50,9122018,15122018,2018
51,16122018,22122018,2018
52,23122018,29122018,2018
1,30122018,5012019,2019
2,6012019,12012019,2019
3,13012019,19012019,2019
4,20012019,26012019,2019
5,27012019,2022019,2019
6,3022019,9022019,2019
7,10022019,16022019,2019
8,17022019,23022019,2019
9,24022019,2032019,2019
10,3032019,9032019,2019
11,10032019,16032019,2019
12,17032019,23032019,2019
13,24032019,30032019,2019
14,31032019,6042019,2019
15,7042019,13042019,2019
16,14042019,20042019,2019
17,21042019,27042019,2019
18,28042019,4052019,2019
19,5052019,11052019,2019
20,12052019,18052019,2019
21,19052019,25052019,2019
22,26052019,1062019,2019
23,2062019,8062019,2019
24,9062019,15062019,2019
25,16062019,22062019,2019
26,23062019,29062019,2019
27,30062019,6072019,2019
28,7072019,13072019,2019
29,14072019,20072019,2019
30,21072019,27072019,2019
31,28072019,3082019,2019
32,4082019,10082019,2019
33,11082019,17082019,2019
34,18082019,24082019,2019
35,25082019,31082019,2019
36,1092019,7092019,2019
37,8092019,14092019,2019
38,15092019,21092019,2019
39,22092019,28092019,2019
40,29092019,5102019,2019
41,6102019,12102019,2019
42,13102019,19102019,2019
43,20102019,26102019,2019
44,27102019,2112019,2019
45,3112019,9112019,2019
46,10112019,16112019,2019
47,17112019,23112019,2019
48,24112019,30112019,2019
49,1122019,7122019,2019
50,8122019,14122019,2019
51,15122019,21122019,2019
52,22122019,28122019,2019
